description,category,amount
CARD PAYMENT WAGAMAMA  BRUNCH,cafe_restaurant,-47.72
DIRECT DEBIT LIDL,groceries,-83.13
Contactless Uber,transport,-54.36
ELKJØP WEB DE,shopping,-432.51
Direct Debit Peopleperhour,income,2246.98
odeon gan3ckipjr eu game,entertainment,-11.11
AMC AUTO-RENEWAL EVENT TICKET,entertainment,-78.42
NIGHTCLUB AUTO-RENEWAL FESTIVAL PASS,entertainment,-131.65
JOURNEY TRAVEL CARD,transport,-42.75
Zara New York Ecom Jacket,shopping,-158.55
Contactless Thames Water Direct Debit,bills_utilities,-1289.34
Saturn Stripe Dublin Clothes,shopping,-202.38
pizza express received sandwich,cafe_restaurant,-13.11
so museum festival pass,entertainment,-88.62
PENNY INBOUND TRANSFER GROCERY,groceries,-63.6
Ebay Bill Clothes,shopping,-307.22
FERRY VISIT PETROL,transport,-18.32
BRASSERIE DIRECT DEBIT SANDWICH,cafe_restaurant,-56.39
Q8 - Shuttle Parking Fee,transport,-26.44
TIM HORTONS*UOH2JISS,cafe_restaurant,-56.19
app burger king stockholm wine,cafe_restaurant,-13.88
direct debit netto fr,groceries,-121.16
food market auto-renewal,groceries,-129.07
Payment From Crossfit Checkup,health,-157.15
hulu visa ref r9rpdl8z membership,entertainment,-109.04
pizza express brunch,cafe_restaurant,-19.6
Papa John'S Delivery,cafe_restaurant,-40.72
credit enterprise,transport,-69.8
direct debit credited,bills_utilities,-263.83
Lunch Beer,cafe_restaurant,-37.48
ikea bill,shopping,-480.48
Contactless Elkjøp Furniture,shopping,-54.81
COSTA COFFEE CREDIT WEB SNACK,cafe_restaurant,-38.27
wayfai london online gift,shopping,-146.71
AUTOPAY CARREFOUR SUBSCRIPTION BREAD,groceries,-95.54
Wayfair Ecom/Los Angeles Jacket,shopping,-236.6
standing order downtown,bills_utilities,-424.93
Salary Received Near Work Cashback Credited,income,628.28
Ticket (Greyhound),transport,-56.52
vitamins (blood test),health,-100.01
Blood Test Visa Protein,health,-64.75
leon,cafe_restaurant,-14.34
direct debit ramen shop,cafe_restaurant,-53.22
JOHN LEWIS FI51M9 VIENNA,shopping,-391.95
CARD PAYMENT ALDI LISBON FRESH FOOD,groceries,-16.9
card payment pilates vienna,health,-205.87
dd bus commute,transport,-67.34
HOME INSURANCE/SUBSCRIPTION/PARIS,bills_utilities,-402.62
DEBIT SUPERMARKET MEAT,groceries,-76.06
Burger Paris Pos Pasta,cafe_restaurant,-29.42
Puregym / Massage Doctor Visit,health,-248.53
Latte Credited Burger,cafe_restaurant,-41.59
circle k inbound transfer airport transfer,transport,-42.52
so food market supermarket run,groceries,-20.35
PAYMENT FROM NUFFIELD HEALTH FITNESS CLASS,health,-133.27
card payment ikea chicago,shopping,-126.17
museum | transfer | cinn6ch film,entertainment,-24.17
BROADBAND | TRANSFER | UBCY3MD,bills_utilities,-474.82
ALIEXPRESS - DELIVERY KITCHENWARE,shopping,-420.57
DIRECT DEBIT CORNER SHOP DAIRY,groceries,-117.08
Migros/Credit/De Dairy,groceries,-43.35
CARREFOUR ONLINE MILK,groceries,-63.91
RETURN CONCERT VENUE SHOW,entertainment,-57.03
theatre bill,entertainment,-51.09
RETURN FREE NOW,transport,-47.54
domino's bill beer,cafe_restaurant,-42.26
Water Downtown,bills_utilities,-893.75
headphones,shopping,-192.46
broadband*q5oyr39yj,bills_utilities,-1491.06
DIRECT DEBIT LV INSURANCE,bills_utilities,-441.93
Apple Tv+-Eu-Mastercard,entertainment,-107.27
Card Payment Lidl Stockholm Bread,groceries,-69.2
dim su prague pos dinner,cafe_restaurant,-60.12
POPEYES | DEBIT | H5X4G4 DRINKS,cafe_restaurant,-30.59
Credit Bonus Dividend Payment,income,1742.5
T-Mobile,bills_utilities,-1267.11
rewe - dairy bread,groceries,-89.12
iban kaufland fresh food eggs,groceries,-84.71
CREDIT THAI RESTAURANT,cafe_restaurant,-36.55
CREDIT INDIAN TAKEAWAY BRUNCH,cafe_restaurant,-45.79
weekly shop credited,groceries,-38.98
SCIENCE CENTER MONTHLY ESCAPE ROOM,entertainment,-28.9
CONTACTLESS DOUGLAS,shopping,-82.28
elkjøp*deb  trousers,shopping,-206.75
PETROL (LYFT),transport,-55.46
PILATES - MASSAGE MASSAGE,health,-134.23
SO GROCERY STORE FOOD SHOPPING,groceries,-120.07
Whole  Prague Sepa,groceries,-61.43
PAYMENT FROM KAUFLAND,groceries,-116.92
john lewis card delivery,shopping,-369.65
RAMEN AT SHAKE SHACK COFFEE,cafe_restaurant,-4.5
Dine In From Bakery,cafe_restaurant,-47.82
SAINSBURY'S CREDIT REF Z3VKVI PRODUCE,groceries,-103.1
MAC COSMETICS DELIVERY PURCHASE,shopping,-302.93
Purchase Thai Restaurant,cafe_restaurant,-18.82
SUBWAY MONTHLY,cafe_restaurant,-38.11
ALIEXPRESS - JACKET SNEAKERS,shopping,-171.07
deutsche bahn bill,transport,-29.11
Autopay M&S Food Purchase,groceries,-100.04
SUPERMARKET INBOUND TRANSFER PRODUCE,groceries,-27.25
Contactless Bolt Petrol,transport,-29.35
Rent*F06Uli30D5 Monthly Bill,bills_utilities,-1100.53
OCTOPUS ENERGY DIRECT DEBIT BROADBAND BILL,bills_utilities,-1011.63
wise transfer received,income,500.28
So Asda Groceries,groceries,-77.62
order olive garden,cafe_restaurant,-12.58
ninten rome ecom,entertainment,-135.27
OCTOPUS ENERGY-US-AUTOPAY,bills_utilities,-349.0
interest credited,income,2167.22
LIDL*INV ROME,groceries,-40.42
Contactless Nintendo,entertainment,-51.37
FIVERR,income,2313.06
NIKE*SUB FR,shopping,-446.7
return aldi,groceries,-79.57
Mango Online Order,shopping,-181.28
axa he gb txn doctor visit,health,-102.71
Science Center Payment,entertainment,-56.11
bulk food downtown food shopping,groceries,-66.56
John L Los Angeles Paypal,shopping,-460.13
Adidas Visit,shopping,-64.62
standing order amazon prime video,entertainment,-40.38
Monthly Bill From Rent,bills_utilities,-808.02
so escape room escape room,entertainment,-138.99
M&S FOOD SEPA/LONDON,groceries,-129.18
PLANET FITNESS - THERAPY WORKOUT,health,-224.16
Lyft,transport,-58.52
Rewe Paypal Ref Qcr799Fr Vegetables,groceries,-14.09
STANDING ORDER ESSO,transport,-3.85
bowling (nightclub),entertainment,-56.9
NATURKOST ONLINE FRUITS,groceries,-58.82
ee*pay dublin broadband bill,bills_utilities,-1188.39
Trampoline Park Visit Gig,entertainment,-23.71
ADIDAS*TRA LOS ANGELES HOMEWARE,shopping,-322.14
XBOX / SUBSCRIPTION BOWLING,entertainment,-147.96
Home Insurance-New York-Mastercard,bills_utilities,-224.36
bupa recurring berlin,health,-57.27
MINI GOLF CREDIT GAME,entertainment,-104.16
SCOTTISH WATER - WATER,bills_utilities,-1174.21
Department Store-Prague-Mastercard Clothes,shopping,-482.2
lyft/order/amsterdam,transport,-40.42
UPWORK*M6QWYFQSP,income,4870.25
CONTACTLESS ORLEN,transport,-44.43
paypal transfer order visa,income,715.92
STANDING ORDER CROSSFIT,health,-127.83
UNDER ARMOUR*P7X199,shopping,-373.27
METRO/CREDIT/BERLIN,transport,-17.06
Event Ticket At Amazon Music,entertainment,-89.51
PLANET FITNESS ONLINE THERAPY,health,-201.23
PRODUCE CREDITED,groceries,-72.58
DUNKIN / TAKEAWAY,cafe_restaurant,-28.18
credit tgi friday's drinks,cafe_restaurant,-32.95
STANDING ORDER SEPHORA,shopping,-428.51
electricity from octopus energy monthly bill,bills_utilities,-888.86
H&M SNEAKERS,shopping,-445.03
MASSAGE (SPA),health,-40.5
COOP AUTO-RENEWAL BULK FOOD,groceries,-17.07
verizon transfer card rent payment,bills_utilities,-1035.62
Bowling Sepa/Brussels In-App Purchase,entertainment,-131.97
COOP AUTO-RENEWAL DAIRY,groceries,-87.27
Neste*Gje7Igfe,transport,-61.97
Bread,groceries,-61.72
TOLL AT TOLL GATE COMMUTE,transport,-79.47
Recurring David Lloyd Therapy,health,-169.6
Payment From Apple Music Subscription,entertainment,-148.32
return vat refund,income,1187.55
WAGE CREDIT CREDITED,income,5674.4
ORLEN 8DCLZ04 NEW YORK,transport,-12.32
PIZZERIA/PAYMENT/US SANDWICH,cafe_restaurant,-30.38
SO ITSU DINNER,cafe_restaurant,-64.32
PEACOCK / MOVIE,entertainment,-97.89
Comedy Club Auto-Renewal Event Ticket,entertainment,-14.81
pub credit visa burger,cafe_restaurant,-60.57
Electricity Bill-Madrid-Card Mortgage Payment,bills_utilities,-1281.63
axa health subscription sepa,health,-198.91
Supplements Credited,health,-155.61
CASHBACK TRANSFER ONLINE,income,5941.04
PEACOCK DELIVERY,entertainment,-121.94
habitat q4hnd2xy rome,shopping,-397.3
jewellery outing,shopping,-299.69
PARKING-AMSTERDAM-POS FUEL,transport,-18.18
CARD PAYMENT BLOOD TEST DE,health,-106.89
Megabus | Credit | V9D4Bit Ride,transport,-39.14
Mubi*Txn Stockholm Subscription,entertainment,-62.4
toll downtown pass,transport,-32.35
SO PIZZA HUT CAKE,cafe_restaurant,-48.9
GP SURGERY RECEIVED VITAMINS,health,-90.93
KAUFLAND,groceries,-90.3
bowling from xbox,entertainment,-9.31
Credit Asda ,groceries,-10.19
douglas monthly,shopping,-67.35
CLOTHES FROM L'OCCITANE,shopping,-85.55
ORANGE STOCKHOLM PAYPAL,bills_utilities,-719.13
Return Billa,groceries,-88.05
Film From Deezer,entertainment,-73.25
orlen | charge | 38vi7ns,transport,-33.57
Street Food*Ord Eu,cafe_restaurant,-27.5
circle k direct debit ref k7s3h8yjm,transport,-46.58
Txn Burger Joint Stockholm Ramen,cafe_restaurant,-26.89
Card Saturn Jacket Gadget,shopping,-428.22
three*1gxf3ol9,bills_utilities,-847.49
Bread From Kaufland Organic,groceries,-73.16
apple store monthly,shopping,-50.96
tesco web,groceries,-122.85
Electricity At Orange Direct Debit,bills_utilities,-1436.57
purchase penny,groceries,-83.1
Ramen Wine,cafe_restaurant,-19.95
SCOTTISH WATER ANNUAL FEE,bills_utilities,-303.52
OCTOPUS ENERGY AUTO-RENEWAL DIRECT DEBIT,bills_utilities,-136.15
CREDIT CLINIC,health,-232.74
ORDER COMMISSION WAGE CREDIT,income,2148.91
ZURICH AUTOPAY PARIS ANNUAL FEE,bills_utilities,-1341.48
Weekly Shop At Marks Spencer,groceries,-28.5
AUTOPAY MCDONALD'S ORDER PASTA,cafe_restaurant,-20.99
Cabify Received,transport,-22.27
Return Burger Joint,cafe_restaurant,-44.78
Direct Debit Deutsche Telekom Phone Plan,bills_utilities,-451.85
gog payment club entry,entertainment,-134.83
CREDIT MANGO DELIVERY,shopping,-137.62
Card Renfe Stockholm,transport,-47.8
BISTRO BILL ESPRESSO,cafe_restaurant,-44.72
so parking,transport,-11.34
PIZZA EXPRESS TXN/PRAGUE DESSERT,cafe_restaurant,-63.52
humble bundle monthly club entry,entertainment,-19.43
card payment online shop  online order,shopping,-223.26
Bp*R5Oqa4Rj,transport,-73.1
payment from vat refund,income,1926.27
order ralph lauren,shopping,-106.45
EGGS NEAR WORK MILK,groceries,-115.62
APPLE STORE-CHICAGO-WEB,shopping,-319.62
penny online grocery,groceries,-15.3
TESCO ROME VISA FRUITS,groceries,-24.77
Gym (Rossmann) Fitness Class,health,-58.94
PARKING,transport,-52.89
Broker Brussels Visa Project Payment,income,3752.27
RETURN AMC DLC,entertainment,-50.48
Carrefour With Friends,groceries,-126.83
so pizzeria sandwich,cafe_restaurant,-62.58
CLOTHING NEAR WORK,shopping,-197.48
bowling / film,entertainment,-82.91
Purchase Vat Refund Bonus Received,income,4448.67
thames water electricity,bills_utilities,-1256.87
order mortgage,bills_utilities,-905.14
sky fee autopay broadband bill,bills_utilities,-1318.95
THERAPY MONTHLY,health,-28.73
Applebee'S/Order/De Cappuccino,cafe_restaurant,-28.8
tidal-de-credit,entertainment,-145.71
Lunch At Dunkin Brunch,cafe_restaurant,-52.74
SPAR/PURCHASE/BRUSSELS SUPERMARKET RUN,groceries,-38.42
Petrol Near Work,transport,-33.84
Credit Rewe,groceries,-56.83
trader joe's bill,groceries,-44.26
Credit Currys Clothes,shopping,-472.03
vitality l1v8zbft1a prague medical,health,-124.26
bolt paris pos ride,transport,-76.91
autopay boots beauty invoice,shopping,-96.82
E.ON WATER INSURANCE PREMIUM,bills_utilities,-425.83
Takeaway Credited Sushi,cafe_restaurant,-64.14
BILLA AUTO-RENEWAL,groceries,-87.26
supplements credited,health,-227.13
Insurance Premium Near Work,bills_utilities,-1069.18
Saturn Direct Debit,shopping,-448.27
Game Near Work Movie,entertainment,-87.31
purchase sushi bar brunch,cafe_restaurant,-51.78
So Edeka Produce,groceries,-44.79
RETURN BURGER JOINT BEER,cafe_restaurant,-51.01
Topshop Iban/Rome Laptop,shopping,-158.53
PIZZERIA INBOUND TRANSFER,cafe_restaurant,-56.89
Credit Dm Drogerie,health,-120.26
Walgreens Prescription Physio,health,-16.66
WEEKLY SHOP FROM LOCAL MARKET,groceries,-35.18
contactless waitrose paris,groceries,-81.9
PILATES HEALTH INSURANCE,health,-53.46
PHONE PLAN FROM ADMIRAL,bills_utilities,-87.56
gadget downtown,shopping,-445.08
Pos Vodafone Home Subscription Renewal Subscription Renewal,bills_utilities,-1476.57
kaufland app ,groceries,-110.33
CINEPOLIS AUTO-RENEWAL,entertainment,-9.27
standing order paypal transfer,income,3008.36
five guys bill,cafe_restaurant,-11.52
dividend payment at airbnb payout,income,1069.64
KAUFLAND ECOM/LONDON WEEKLY SHOP,groceries,-112.01
Insurance Premium Near Work,bills_utilities,-1200.31
Rossmann / Massage,health,-41.31
NINTENDO*51Q5WZF,entertainment,-41.1
txn sports direct accessories,shopping,-302.51
LASER TAG ECOM CONCERT TICKET,entertainment,-64.67
swisscom*txn stockholm mortgage payment,bills_utilities,-1264.25
DLC NEAR WORK GAME,entertainment,-67.51
opera house*1pne18 gig,entertainment,-33.02
Order Vinted,shopping,-264.75
BP VISIT TRIP,transport,-67.9
Chipotle Direct Debit Dessert,cafe_restaurant,-24.43
Tidal Recurring Us,entertainment,-34.98
standing order food market groceries,groceries,-98.31
Project Payment Downtown,income,3750.1
migros weekly shop produce,groceries,-113.07
CREDIT BUPA,health,-227.28
CAFFE NERO DELIVERY CAKE,cafe_restaurant,-56.45
humble bundle 1zmq8b us,entertainment,-76.06
So Fiverr Dividend Payment,income,1326.91
cafe received dessert,cafe_restaurant,-32.4
direct debit car park,transport,-73.65
Meat Downtown,groceries,-41.89
humble bundle visit,entertainment,-110.46
CHICK-FIL-A / SUSHI,cafe_restaurant,-46.46
BURGER JOINT | FEE | YSQ3SZJG3D BREAKFAST,cafe_restaurant,-16.63
Starbucks | Debit | Guvxrco2 Dinner,cafe_restaurant,-51.94
ESSO ONLINE REF TLXQTJK PETROL,transport,-68.05
vinted-de-recurring,shopping,-476.22
FARE DOWNTOWN AIRPORT TRANSFER,transport,-9.84
Etsy With Friends,shopping,-452.41
supermarket*fee chicago meat,groceries,-44.67
ecom mango fr furniture,shopping,-465.64
PIZZA HUT-LISBON-MASTERCARD DESSERT,cafe_restaurant,-20.52
DIRECT LINE ECOM PRAGUE,bills_utilities,-225.95
neste online/de,transport,-57.77
Order Wendy'S Wine,cafe_restaurant,-17.44
CONTACTLESS KAUFLAND MILK,groceries,-90.16
Applebee'S Received Cappuccino,cafe_restaurant,-57.57
STEAM | CREDIT | 6XATSKX BOWLING,entertainment,-15.0
DIRECT DEBIT PAPA JOHN'S,cafe_restaurant,-42.73
TGI FRIDAY'S MONTHLY,cafe_restaurant,-15.03
NATURKOST*TRA BRUSSELS MEAT,groceries,-54.28
TOTAL SEPA CHICAGO TRAVEL CARD,transport,-43.37
NATURKOST--AUTOPAY MILK,groceries,-111.11
Event Ticket Credited Game,entertainment,-29.49
SEVERN TRENT ONLINE SUBSCRIPTION RENEWAL,bills_utilities,-1482.17
CORNER SHOP AUTO-RENEWAL,groceries,-38.31
APPLE MUSIC SEPA CLUB ENTRY,entertainment,-53.75
ALIEXPRESS MONTHLY,shopping,-298.79
CRUNCHYROLL VISIT GAME,entertainment,-145.76
CREDIT ELECTRONICS STORE,shopping,-113.01
Home Insurance Direct Debit Electricity,bills_utilities,-1376.08
AUTOPAY SUBWAY CHARGE,cafe_restaurant,-19.65
lloyds pharmacy - supplements,health,-211.52
STREAMING OUTING,entertainment,-106.67
ORANGE SEPA ROME BROADBAND BILL,bills_utilities,-1407.02
AVIVA RECURRING/BRUSSELS,bills_utilities,-46.89
Cinema Iban/Madrid Club Entry,entertainment,-86.03
neste / diesel,transport,-22.93
VITAMINS AT IHERB THERAPY,health,-8.09
Food Market - Grocery Bread,groceries,-32.62
PAYMENT FROM VODAFONE HOME SUBSCRIPTION RENEWAL,bills_utilities,-946.34
electronics (etsy),shopping,-195.01
Megabus Web/Chicago Fuel,transport,-2.22
department store auto-renewal clothing,shopping,-276.68
order lidl meat,groceries,-114.24
ebay direct debit online order,shopping,-21.13
STREET FOOD AUTO-RENEWAL TAKEAWAY,cafe_restaurant,-37.55
Tgi Friday'S Inbound Transfer,cafe_restaurant,-35.59
LANDLORD PAYMENT PAYMENT RENT PAYMENT,bills_utilities,-1386.48
DINE IN NEAR WORK SUSHI,cafe_restaurant,-41.44
Dine In At Wagamama Breakfast,cafe_restaurant,-37.16
Standing Order Uniqlo Jacket,shopping,-175.88
direct debit at&t subscription renewal,bills_utilities,-1075.65
Card Mini Market De,groceries,-20.45
so swisscom,bills_utilities,-201.76
TWITCH*ZPRKPACPJ NIGHT OUT,entertainment,-127.23
STANDING ORDER SPECIALIST MEDICATION,health,-152.7
clothes at wish shoes,shopping,-27.59
TRAM WITH FRIENDS DIESEL,transport,-36.29
Payment From Caffe Nero,cafe_restaurant,-28.26
REI BILL PURCHASE,shopping,-160.94
BRITISH GAS 7NAG1F0IM AMSTERDAM,bills_utilities,-185.13
STANDING ORDER ADMIRAL,bills_utilities,-173.12
Sepa Five Guys Latte,cafe_restaurant,-22.63
Trader Joe'S Received,groceries,-89.61
Crossfit Recurring Berlin Medication,health,-177.52
Deezer Monthly,entertainment,-126.8
restaurant beer,cafe_restaurant,-27.91
RESTAURANT WITH FRIENDS,cafe_restaurant,-28.93
vitality monthly medication,health,-220.82
Nuffield Health / Checkup Supplements,health,-87.37
DENTIST AUTOPAY REF 4IPWIJZA1 MEDICINE,health,-138.9
Flixbu Eu Card,transport,-39.04
DD PIZZERIA,cafe_restaurant,-34.51
shake shack - lunch snack,cafe_restaurant,-9.31
Bulk Food Outing,groceries,-116.22
CREDIT AIRBNB PAYOUT,income,2633.99
standing order pilates dental,health,-89.91
Stripe Payout Auto-Renewal,income,5429.96
ralph lauren inbound transfer,shopping,-238.71
direct debit penny groceries,groceries,-96.89
Direct Debit Kfc,cafe_restaurant,-11.95
OUTLET STORE DELIVERY PHONE,shopping,-441.54
Octopus Energy Bill,bills_utilities,-607.89
PUREGYM AUTOPAY MADRID,health,-27.79
produce bread,groceries,-34.65
nightclub film,entertainment,-22.4
Ee Tlw599L Los Angeles Water,bills_utilities,-1053.05
WISH - GIFT,shopping,-284.99
Return Amazon Prime Video Festival Pass,entertainment,-116.58
Mastercard Cigna Massage,health,-126.99
Kaufland Inbound Transfer Dairy,groceries,-129.93
PILATES INBOUND TRANSFER,health,-226.96
Tram Visit Trip,transport,-19.6
ONLINE SUPERMARKET DUBLIN,groceries,-38.11
RIDE NEAR WORK TOLL,transport,-74.31
PHONE FROM L'OCCITANE,shopping,-142.05
IBAN SUBWAY LISBON,cafe_restaurant,-38.55
la fitness txn physio,health,-102.96
LYFT CONTACTLESS/VIENNA FARE,transport,-75.67
Company Payroll Monthly,income,2408.04
Credit Laser Tag Gig,entertainment,-83.58
Standing Order Aldi,groceries,-53.64
CIRCLE K*ORD CHICAGO,transport,-62.21
Aviva Health/Debit/De Protein,health,-169.88
opera  madrid card,entertainment,-148.91
nightclub*cha gb series,entertainment,-31.64
STANDING ORDER AMAZON MUSIC,entertainment,-147.26
web art gallery gb,entertainment,-140.7
Contactless Chipotle Sushi,cafe_restaurant,-48.41
Billa - Weekly Shop Meat,groceries,-44.07
Billa Contactless Vegetables,groceries,-104.04
CONTACTLESS CIRCLE K,transport,-78.68
LOCAL MARKET STRIPE REF JLAUHQ2QVA,groceries,-27.54
CASHBACK IBAN/,income,1968.45
Order O2 Electricity,bills_utilities,-505.77
scottish water payment pos,bills_utilities,-959.01
VODAFONE HOME,bills_utilities,-1467.46
Roblox R0Jgyff Warsaw,entertainment,-63.38
return government payment,income,2430.91
FARE FROM DEUTSCHE BAHN,transport,-4.23
PURCHASE LABORATORY DOCTOR VISIT,health,-67.98
CARD PAYMENT PUREGYM LISBON GYM,health,-179.22
Payment From Kaufland Fresh Food,groceries,-20.79
return kebab shop,cafe_restaurant,-63.21
DIRECT DEBIT PEOPLEPERHOUR PROJECT PAYMENT,income,921.83
Wayfair App Fr Dress,shopping,-131.92
dessert downtown,cafe_restaurant,-38.69
ESSO-WARSAW-WEB DIESEL,transport,-56.82
Meat At Bio Company,groceries,-73.6
Airbnb Payout / Freelance Income,income,3923.11
LOCAL MARKET*ORD NEW YORK,groceries,-56.78
PURCHASE CHILI'S SNACK,cafe_restaurant,-15.39
Contactless Iherb Checkup,health,-10.33
purchase thames water council tax,bills_utilities,-1156.64
RETURN NEXT ACCESSORIES,shopping,-367.37
BOWLING PAYMENT,entertainment,-51.96
burger king auto-renewal takeaway,cafe_restaurant,-27.95
NETTO MONTHLY WEEKLY SHOP,groceries,-31.88
edeka received fresh food,groceries,-114.58
PRIMARK R9KQV7RP59 US,shopping,-263.93
MYPROTEIN PROTEIN HEALTH INSURANCE,health,-96.64
Olive Garden Received Sandwich,cafe_restaurant,-62.15
PAYMENT FROM DEUTSCHE TELEKOM INSURANCE PREMIUM,bills_utilities,-324.3
Avis Online/Amsterdam Travel Card,transport,-29.87
Monthly Pay*Pay Dublin Salary Received,income,3644.52
contactless costa coffee cake,cafe_restaurant,-17.87
ASDA VISA BERLIN SUPERMARKET RUN,groceries,-36.89
ALDI BILL,groceries,-51.77
AIRPORT TRANSFER (TEXACO),transport,-13.18
Standing Order Supermarket,groceries,-90.07
lv ins brussels ecom phone plan,bills_utilities,-690.1
SUPPLEMENTS AT MENTAL HEALTH APP PROTEIN,health,-181.61
Theatre Contactless Chicago Series,entertainment,-47.71
Indian Takeaway Cappuccino,cafe_restaurant,-21.89
Five Guys Visit Beer,cafe_restaurant,-37.07
department store with friends,shopping,-369.78
MORTGAGE ECOM REF VZ8A37 MONTHLY BILL,bills_utilities,-1074.67
Payment From Sports Direct,shopping,-108.8
Flixbus Card,transport,-14.23
eggs credited weekly shop,groceries,-58.33
Odeon Received,entertainment,-69.98
NANDO'S*PUR US,cafe_restaurant,-39.13
recurring mcdonald's brunch,cafe_restaurant,-41.95
Penny Autopay Ref Lcbkefbi01 Supermarket Run,groceries,-60.23
petrol near work fare,transport,-57.53
LA FITNESS WITH FRIENDS,health,-190.59
COUNCIL TAX ONLINE MONTHLY BILL,bills_utilities,-1365.2
marks spencer web ref vcc7wxdh supermarket run,groceries,-87.43
Electricity (Admiral),bills_utilities,-917.81
NIKE DELIVERY ELECTRONICS,shopping,-229.73
mini g warsaw debit game,entertainment,-38.82
At&T Gas,bills_utilities,-353.57
Fnac Gb Txn,shopping,-306.13
tax rebate-paris-txn,income,2960.07
Coop Online Ref 43Hmd90Uvr,groceries,-38.31
spotify / streaming night out,entertainment,-74.51
GAP WEB REF J5EQASJ,shopping,-191.82
DIRECT DEBIT NANDO'S SNACK,cafe_restaurant,-18.98
Meat Outing Bulk Food,groceries,-129.75
waitrose txn contactless,groceries,-57.45
L'OCCITANE BILL FURNITURE,shopping,-390.38
PLAYSTATION VISIT NIGHT OUT,entertainment,-32.06
Purchase Crunchyroll Night Out,entertainment,-131.7
ENEL MASTERCARD  COUNCIL TAX,bills_utilities,-1075.62
trampoline park-brussels-autopay in-app purchase,entertainment,-94.81
order whole foods organic,groceries,-83.53
avis / trip,transport,-51.04
So Toll Gate Fare,transport,-48.64
DM DROGERIE VISIT SUPPLEMENTS,health,-179.36
WINE OUTING,cafe_restaurant,-54.34
ECOM SEPHORA SHOES ACCESSORIES,shopping,-403.31
MEGABUS | CHARGE | TM95GKUK4Q RIDE,transport,-40.22
physiotherapy mastercard ref kvxrnt8ho,health,-194.23
RETURN AT&T INSURANCE PREMIUM,bills_utilities,-561.54
comedy club-berlin-credit,entertainment,-60.88
ECOM AVIS VIENNA TOLL,transport,-14.65
Ferry Crossing,transport,-20.41
FERRY DELIVERY,transport,-57.09
Wise Transfer-Madrid-App Interest Credited,income,1597.29
three visit annual fee,bills_utilities,-443.47
RECURRING RENT STANDING ORDER,bills_utilities,-753.4
Ferry - Parking Fee,transport,-17.83
food truck with friends beer,cafe_restaurant,-31.8
CHINESE RESTAURANT - RAMEN DELIVERY MEAL,cafe_restaurant,-35.43
annual fee monthly bill,bills_utilities,-397.47
dm drogerie,health,-171.57
Parking Direct Debit Ticket,transport,-28.22
DIRECT DEBIT YOUTUBE PREMIUM DLC,entertainment,-57.27
RIDE,transport,-66.81
CREDIT FNAC,shopping,-105.72
PURCHASE APPLE STORE PURCHASE,shopping,-136.93
AUTOPAY NINTENDO CHARGE,entertainment,-135.25
wine bar visa,cafe_restaurant,-6.92
Vinted Yrtuavy London Headphones,shopping,-185.0
Debit Sports Direct Clothing Shoes,shopping,-497.11
recurring tram petrol,transport,-69.23
Enterprise 04Ohph Eu,transport,-37.39
toll credited,transport,-79.99
So Bulk Powders Vitamins,health,-203.05
Order Free Now,transport,-75.14
ELECTRONICS STORE-STOCKHOLM-CARD SHOES,shopping,-395.02
Caffe Nero Subscription Web,cafe_restaurant,-55.03
Pos Therapy Physio,health,-113.04
TAPAS BAR PAYMENT,cafe_restaurant,-39.25
paypal papa john's london sushi,cafe_restaurant,-62.61
LLOYDS PHARMACY RECURRING/MADRID FITNESS CLASS,health,-125.25
INVESTMENT RETURN-BERLIN-CREDIT PAYOUT,income,5074.68
pub credit mastercard wine,cafe_restaurant,-49.06
DEBIT SPORTS DIRECT BERLIN,shopping,-103.47
SPORTS DIRECT AUTO-RENEWAL GADGET,shopping,-406.37
DISNEY+ DIRECT DEBIT,entertainment,-51.32
CHIPOTLE/PAYMENT/LOS ANGELES SUSHI,cafe_restaurant,-41.62
Electricity Downtown,bills_utilities,-994.64
airport transfer,transport,-18.09
Protein At Physiotherapy,health,-21.71
credit papa john's snack,cafe_restaurant,-40.41
Delivery At Clothing Store,shopping,-274.75
credit apple store electronics,shopping,-343.71
Toptal Online,income,723.19
Mediamarkt Monthly,shopping,-196.85
DIRECT DEBIT MINI MARKET,groceries,-60.62
SPORTS BRUSSELS MASTERCARD SHIRT,shopping,-313.36
DD FERRY,transport,-48.9
Tfl*Tra Warsaw,transport,-57.82
Direct Debit Tfl Fuel,transport,-77.22
PAYMENT FROM WAITROSE GROCERY,groceries,-38.74
Myprotein Direct Debit Berlin,health,-171.55
water bill direct debit,bills_utilities,-930.53
CRUNCHYROLL*PUR NEW YORK,entertainment,-66.88
Sports Direct Transfer Debit,shopping,-219.48
CLINIC SUPPLEMENTS,health,-143.94
migros visit organic,groceries,-72.37
COOP*INV VIENNA,groceries,-110.99
purchase chili's,cafe_restaurant,-63.93
Olive Garden App Stockholm,cafe_restaurant,-23.08
purchase freelance payment transfer received,income,3872.19
VISA MORTGAGE BERLIN WATER,bills_utilities,-1095.49
SIXT*NUO9BF AIRPORT TRANSFER,transport,-20.38
Wise Transfer / Dividend Payment,income,3284.22
e.on water,bills_utilities,-265.67
Tesco/Txn/Brussels Milk,groceries,-73.17
DD PAYROLL REFUND RECEIVED,income,717.46
Severn Trent Visa Fr,bills_utilities,-884.02
MAC COSMETICS*HSGTH7W6Y HOMEWARE,shopping,-215.58
