description,category
Mta Eu Debit,transport
HOSPITAL*SUB CA,health
CARD T-MOBILE,other
apotek subscription online eu,health
chipotle-los angeles-visa,food
Boots Pos Payment,health
costco rome trip,shopping
UTILITY PAYMENT BRUSSELS #13132,other
Utility Payment Egypt #94046,other
EL CORTE INGLES KSA #43734,shopping
amazon txn/vienna,shopping
Youtube Purchase Online Tx,entertainment
netflix txn/alex,entertainment
Walgreens Amsterdam Eur,health
VERIZON TXN VIA CARD,other
Xbox Paypal Paris Sepa,entertainment
DEUTSCHE BAHN ACH FEE,transport
unknown tx #44321,other
hsbc pos boston sepa,other
Amc Theatres Ecom Subscription,entertainment
at&t order,other
atm netherlands sepa,other
Billa Dallas Eur,food
RITE AID BILL VIA DEBIT,health
Tesco Fee,shopping
apotek iban subscription,health
Pos Greggs,food
DISNEY+-AUSTRIA-SEPA,entertainment
ZALANDO APP/MIAMI,shopping
Zalando Austria #17592,shopping
At&T Los Angeles #29797,other
ZALANDO IBAN GIZA SEPA,shopping
Hospital Berlin #45320,health
Subway France Eur,food
APOTEK ORDER VIA SEPA,health
orange purchase via online,other
Kfc Amex Spain Sepa,food
card lyft,transport
paypal renfe,transport
spotify pos alex sepa,entertainment
Bbc Iplayer*Pay Vienna,entertainment
rite aid pos los angeles,health
disney+ seattle pos,entertainment
Amazon*Exp Uae,shopping
netflix intl/italy,entertainment
DISNEY+ FEE VIA INTL,entertainment
taco bell*ord paris,food
verizon square/netherlands,other
vodafone france #2522,other
salary mastercard subscription,other
sncf ach ,transport
Clinic Charge Via Sepa,health
BANK OF AMERICA ECOM UAE SEPA,other
HSBC*PAY AUSTRIA,other
CLINIC CARD/KSA,health
CHIPOTLE SUBSCRIPTION,food
tfl debit/brussels,transport
BOOTS EGYPT #91753,health
netflix amex/madrid,entertainment
STEAM BILL,entertainment
Stripe Amtrak,transport
Wendy'S*Fee Us,food
CARREFOUR ONLINE PAYMENT,shopping
SEPA MCDONALDS,food
uber wire spain,transport
Starbucks Fee Online London,food
CARREFOUR SAN FRANCISCO EUR,shopping
amazon iban wa sepa,shopping
AMAZON-MADRID-DIGITAL,shopping
spotify ecom egypt sepa,entertainment
amazon germany trip,shopping
BBC IPLAYER CARD TXN,entertainment
Deutsche Bahn Trip Uae,transport
iban bank of america,other
PAUL BAKERY ECOM CHARGE,food
PLAYSTATIONHULU AMEX SUBSCRIPTION,entertainment
steam online/madrid,entertainment
VODAFONE TXN EGYPT SEPA,other
intl nando's,food
HSBC BERLIN ACH,other
gym charge,health
El Corte Ingles Paypal/Los Angeles,shopping
DUNKIN SEPA EUR,food
DOCMORRIS-WA-DEBIT,health
BARCLAYS RIDE/US,other
Ride Eat.,food
Sky Paypal Los Angeles,entertainment
walgreens intl purchase,health
eurostar debit eu,transport
apotek-uae-debit,health
T-Mobile Milan Visa,other
BART SAN FRANCISCO EUR,transport
Trainline Digital/Vienna,transport
TESCO-CA-MASTERCARD,shopping
AT&T BERLIN EUR,other
T-MOBILE BELGIUM #76086,other
eat.-usa-card,food
ITALO NETHERLANDS EUR,transport
DELIVERY SPAR,food
DEUTSCHE BAHN IL #93130,transport
Hsbc Square Usa Sepa,other
CARREFOUR LONDON IBAN,shopping
DEUTSCHE BAHN TRIP/BERLIN,transport
chipotle expense via online,food
SKY ORDER ONLINE EU,entertainment
sky seattle #51028,entertainment
Spotify Charge Online New York,entertainment
Chipotle France Eur,food
Hsbc Bill,other
HOSPITAL ONLINE BILL,health
barclays expense,other
nando's alex #63639,food
Ride Youtube,entertainment
bank of america order via visa,other
MTA STRIPE FL,transport
target credit/rome,shopping
Costco Ksa #57202,shopping
spotify iban uk,entertainment
orange txn fee,other
SPAR CHICAGO EUR,food
txn xbox,entertainment
WALGREENS-TX-IBAN,health
aldi debit sepa sepa,shopping
Pret A Manger Debit/Uae,food
Utility Payment Fee,other
MASTERCARD VERIZON,other
youtube rome #23651,entertainment
dunkin wa #36791,food
youtube delivery/eu,entertainment
subway milan pos,food
ALDI UK #33468,shopping
TACO BELL SUBSCRIPTION ONLINE SPAIN,food
YOUTUBE WIRE/CA,entertainment
salary germany app,other
rite aid-netherlands-square,health
At&T Dallas #94654,other
Deutsche Bahn Milan #67871,transport
utility payment wire expense,other
CARREFOUR ONLINE IL SEPA,shopping
RITE AID TXN ORDER,health
VERIZON-KSA-MASTERCARD,other
Amex Canal+,entertainment
PHARMACY-MIAMI-TXN,health
mta-boston-visa,transport
CVS RIDE IL SEPA,health
target sepa/netherlands,shopping
CLINIC ORDER VIA APP,health
O2 IBAN EXPENSE,other
Orange*Sub Madrid,other
Hospital France Sepa,health
AMAZON PAYPAL MILAN,shopping
sncf paris #70703,transport
AT&T DIGITAL ORDER,other
CARREFOUR FEE,shopping
SKY ORDER ONLINE TX,entertainment
target netherlands app,shopping
YOUTUBE APP CHARGE,entertainment
Gym Netherlands #87929,health
CLINIC RIDE BILL,health
Taco Bell*Exp New York,food
mastercard xbox,entertainment
BART USA EUR,transport
mastercard greggs,food
costco bill via pos,shopping
el corte ingles amex austria,shopping
Amazon Purchase,shopping
At&T Bill,other
disney+ boston eur,entertainment
Playstationhulu Sepa London,entertainment
DOCMORRIS*CHA NY,health
Playstationhulu Chicago Eur,entertainment
Boots Order Via Debit,health
ORANGE UAE DIGITAL,other
playstationhulu milan eur,entertainment
MCDONALDS*PUR MILAN,food
at&t debit/alex,other
playstationhulu digital giza,entertainment
Eurostar-Cairo-Square,transport
bank of america iban/berlin,other
tesco fl ecom,shopping
Salary Mastercard San Francisco Sepa,other
Chipotle*Cha Alex,food
CHASE ROME TRIP,other
Pharmacy*Sub Egypt,health
Salary Brussels Online,other
DISNEY+ MADRID DEBIT,entertainment
boots digital charge,health
Docmorris*Fee San Francisco,health
Walmart Belgium Eur,shopping
ZALANDO-SAN FRANCISCO-IBAN,shopping
le pain quotidien fee online new york,food
WENDY'S ONLINE ORDER,food
Amc Theatres Vienna Eur,entertainment
Zalando Order Online Seattle,shopping
el corte ingles bill via paypal,shopping
ALDI-FRANCE-INTL,shopping
ATM FEE,other
Hsbc Fee Online Dallas,other
Rite Aid*Pay Eu,health
Walmart*Exp Us,shopping
Tfl Il Eur,transport
CLINIC APP NY,health
STARBUCKS INTL CA SEPA,food
Amazon Txn Online Brussels,shopping
o2 debit/dallas,other
target ride london sepa,shopping
EAT. FEE VIA PAYPAL,food
steam subscription,entertainment
Lyft*Ord London,transport
verizon-alex-paypal,other
zalando-chicago-delivery,shopping
HOSPITAL CHARGE VIA CARD,health
subway*cha seattle,food
canal+ madrid eur,entertainment
Pharmacy Subscription,health
PAUL BAKERY US #19952,food
le pain quotidien txn via trip,food
trainline il eur,transport
BANK OF AMERICA LONDON EUR,other
O2 IL #95753,other
AMAZON TXN VIA INTL,shopping
EL CORTE INGLES ALEX RIDE,shopping
salary*pur dallas,other
uber subscription,transport
Atm Expense Online Boston,other
docmorris eur #7940,health
target bill,shopping
chase txn/new york,other
Walmart-Eur-Visa,shopping
Deutsche Bahn Purchase,transport
walmart vienna eur,shopping
Billa-Berlin-Credit,food
CLINIC PAYMENT,health
Deutsche Bahn Subscription Online Miami,transport
bart purchase via app,transport
HSBC US APP,other
PAYPAL SUBWAY,food
Pharmacy-Amsterdam-Ride,health
amazon app eur sepa,shopping
bbc iplayer milan eur,entertainment
SKY*BIL BELGIUM,entertainment
Tfl-Egypt-Ach,transport
lidl bill,food
Uber Txn Via Mastercard,transport
RITE AID PARIS EUR,health
wendy's purchase,food
Costco Txn Via Trip,shopping
APP STARBUCKS,food
DOCMORRIS PAYPAL/BERLIN,health
Bolt Order,transport
GYM DALLAS ACH,health
steam order via square,entertainment
Walgreens Stripe San Francisco,health
Hsbc Online Ca Sepa,other
Amazon Wa Eur,shopping
LYFT*CHA USA,transport
lidl amex fl,food
EAT. GERMANY ONLINE,food
sncf-eu-wire,transport
BOLT*CHA EUR,transport
aldi miami eur,shopping
walgreens dallas intl,health
mta iban order,transport
PAUL BAKERY RIDE BILL,food
Costco Seattle Eur,shopping
Xbox Txn,entertainment
Eurostar Eur Sepa,transport
deutsche bahn eu #22194,transport
Walmart Digital Txn,shopping
Lyft London Eur,transport
BART TXN,transport
target*fee dallas,shopping
kfc purchase online new york,food
BART*CHA ALEX,transport
target vienna #50819,shopping
MCDONALDS SQUARE/AMSTERDAM,food
CANAL+ INTL/NETHERLANDS,entertainment
LYFT*FEE NETHERLANDS,transport
Tesco Madrid Amex,shopping
HOSPITAL FRANCE ACH,health
apotek txn online italy,health
CHASE*PUR MADRID,other
CARREFOUR-KSA-MASTERCARD,shopping
Eat.-Sepa-Delivery,food
APOTEK FEE,health
ALDI NY #69675,shopping
Disney+ Card Purchase,entertainment
clinic*sub france,health
best buy mastercard/sepa,shopping
LE PAIN QUOTIDIEN US WEB,food
ITALO-BRUSSELS-CREDIT,transport
VERIZON PAYPAL/AUSTRIA,other
PLAYSTATIONHULU EGYPT VISA,entertainment
t-mobile charge,other
Tfl Mastercard Ny,transport
WALMART CHARGE ONLINE LOS ANGELES,shopping
Paul Bakery Card Egypt Sepa,food
clinic netherlands card,health
utility payment-belgium-card,other
eurostar ny eur,transport
Clinic-Fl-Square,health
Canal+ Dallas #82961,entertainment
square chipotle,food
TESCO TRIP PAYMENT,shopping
wendy's bill,food
TARGET-WA-ECOM,shopping
Pos Costco,shopping
Mcdonalds Fee Online Rome,food
rite aid payment via debit,health
WIRE STARBUCKS,food
BARCLAYS*ORD SEPA,other
Italo Fee Via Card,transport
Mta App Charge,transport
Bart-Ca-Stripe,transport
ECOM SPOTIFY,entertainment
HSBC TXN,other
Zalando Trip Germany,shopping
Tesco Fee Online Il,shopping
SKY IL VISA,entertainment
bolt debit fee,transport
vodafone wire los angeles sepa,other
carrefour-alex-paypal,shopping
spotify ecom berlin sepa,entertainment
WENDY'S*ORD IL,food
DEUTSCHE BAHN KSA #11263,transport
nando's*pay san francisco,food
TESCO*EXP FRANCE,shopping
clinic payment via paypal,health
trainline-dallas-trip,transport
steam madrid square,entertainment
BART ITALY #74620,transport
Target Paris #61274,shopping
Rite Aid-Italy-Paypal,health
card bbc iplayer,entertainment
Vodafone Trip/Austria,other
AMC THEATRES PURCHASE,entertainment
billa paypal/alex,food
txn docmorris,health
Mta Stripe/Ksa,transport
Disney+ Spain #68126,entertainment
YOUTUBE EU CARD,entertainment
boots*sub usa,health
hsbc iban uae,other
best buy txn expense,shopping
AMC THEATRES-IL-IBAN,entertainment
amazon expense via ecom,shopping
BARCLAYS SUBSCRIPTION,other
BART AMEX VIENNA SEPA,transport
RITE AID*PUR USA,health
AMTRAK ECOM SPAIN,transport
Mcdonalds Ca Eur,food
ACH SALARY,other
UTILITY PAYMENT-FRANCE-AMEX,other
Apotek Charge Via Web,health
BOOTS ACH EU,health
pharmacy london eur,health
xbox milan eur,entertainment
UTILITY PAYMENT PAYMENT ONLINE CHICAGO,other
cvs visa subscription,health
App Amc Theatres,entertainment
amc theatres intl charge,entertainment
xbox-chicago-sepa,entertainment
spotify trip fee,entertainment
chipotle order via debit,food
Costco Charge Online Spain,shopping
Paul Bakery Digital Txn,food
Orange Iban Subscription,other
T-MOBILE*FEE PARIS,other
ORANGE CA RIDE,other
Bart Usa Wire,transport
PAUL BAKERY CHARGE,food
Apotek Order Via Pos,health
wendy's brussels mastercard,food
TRAINLINE MIAMI EUR,transport
Rite Aid Mastercard/Vienna,health
DOCMORRIS SUBSCRIPTION ONLINE AMSTERDAM,health
Steam Card Fl Sepa,entertainment
cvs amex purchase,health
DEUTSCHE BAHN SEPA NETHERLANDS,transport
salary vienna mastercard,other
Amtrak*Fee New York,transport
Bbc Iplayer Txn/Fl,entertainment
rite aid-spain-amex,health
renfe*sub ca,transport
O2 Txn Online Austria,other
UBER-FRANCE-TRIP,transport
Paul Bakery*Pur ,food
WENDY'S ONLINE FRANCE,food
dunkin netherlands eur,food
eurostar payment online brussels,transport
Amex Pharmacy,health
WALGREENS SAN FRANCISCO ONLINE,health
Trainline-Cairo-Intl,transport
ALDI NETHERLANDS EUR,shopping
DEBIT UTILITY PAYMENT,other
Apotek Subscription Online Belgium,health
costco*fee london,shopping
Youtube Delivery Amsterdam Sepa,entertainment
Billa Berlin #38070,food
o2*exp belgium,other
BOOTS BILL,health
BEST BUY-MADRID-IBAN,shopping
YOUTUBE APP PURCHASE,entertainment
RENFE INTL FEE,transport
Boots Wire/Spain,health
Hsbc Dallas #51717,other
Playstationhulu Tx Ach,entertainment
disney+ tx #51336,entertainment
subway*txn boston,food
vodafone-belgium-ach,other
trainline payment via txn,transport
Bart Ca #41819,transport
salary trip order,other
Aldi Paris Eur,shopping
COSTCO EU EUR,shopping
Disney+-Netherlands-Ride,entertainment
APOTEK TXN/ALEX,health
Vodafone*Ord Il,other
STEAM NETHERLANDS #84551,entertainment
PRET A MANGER GERMANY EUR,food
Lyft Netherlands Credit,transport
GYM TXN ONLINE CHICAGO,health
bolt pos milan,transport
BEST BUY WIRE FL,shopping
netflix subscription via ride,entertainment
steam bill online new york,entertainment
debit subway,food
Bbc Iplayer San Francisco Card,entertainment
UNKNOWN SUBSCRIPTION ONLINE DALLAS,other
ZALANDO CREDIT/CAIRO,shopping
starbucks mastercard purchase,food
pos zalando,shopping
DUNKIN EXPENSE VIA SQUARE,food
Hospital Italy Online,health
RENFE DEBIT MIAMI SEPA,transport
PLAYSTATIONHULU WEB SEPA SEPA,entertainment
ITALO CREDIT/EUR,transport
canal+ purchase,entertainment
bolt subscription online miami,transport
SKY CARD GIZA SEPA,entertainment
Gym Digital/Il,health
CLINIC INTL BILL,health
amazon ach purchase,shopping
Stripe Docmorris,health
Subway*Sub Vienna,food
chase online/eu,other
WALGREENS CHARGE,health
pret a manger charge via wire,food
Amtrak Milan Eur,transport
TESCO*EXP NEW YORK,shopping
MTA PAYMENT VIA AMEX,transport
ZALANDO DALLAS EUR,shopping
Deutsche Bahn Txn Online Egypt,transport
amazon trip austria sepa,shopping
Hospital Payment Via Delivery,health
WALMART CAIRO CARD,shopping
Amc Theatres San Francisco #22992,entertainment
Nando'S Belgium Ride,food
chase iban london sepa,other
ITALO IBAN PURCHASE,transport
Bank Of America App Spain,other
LIDL*EXP ROME,food
playstationhulu paypal tx,entertainment
el corte ingles italy #91983,shopping
TACO BELL*TXN ALEX,food
zalando seattle ach,shopping
Playstationhulu Subscription,entertainment
Verizon-Belgium-Ach,other
ITALO BILL ONLINE NY,transport
PLAYSTATIONHULU WIRE EXPENSE,entertainment
amazon delivery/uae,shopping
gym*txn boston,health
O2 Expense,other
El Corte Ingles Order Online Ny,shopping
apotek expense online us,health
cvs trip il sepa,health
Apotek Debit/Alex,health
Clinic-Los Angeles-Pos,health
Ecom Salary,other
Italo Wire Order,transport
nando's new york #33268,food
greggs stripe tx sepa,food
Starbucks Txn,food
costco-boston-digital,shopping
ZALANDO ACH EGYPT,shopping
PHARMACY IBAN TX,health
uber bill,transport
Bbc Iplayer-Sepa-Debit,entertainment
Bart Txn Via Ride,transport
CHIPOTLE CHICAGO APP,food
T-MOBILE FEE,other
HSBC MASTERCARD/BRUSSELS,other
MASTERCARD AMAZON,shopping
aldi*pay boston,shopping
SPOTIFY PURCHASE ONLINE NEW YORK,entertainment
SKY AMEX BOSTON SEPA,entertainment
walgreens fl eur,health
youtube ride usa sepa,entertainment
EAT. CREDIT CAIRO,food
pharmacy fee via ecom,health
Steam Payment Via Ecom,entertainment
WEB GYM,health
Dunkin Fee,food
Nando'S Txn,food
Apotek Credit/Us,health
zalando digital ,shopping
Starbucks Austria #25812,food
delivery hospital,health
GYM EXPENSE VIA APP,health
Hsbc Payment,other
CANAL+ BILL VIA RIDE,entertainment
app amazon,shopping
Cvs Belgium Web,health
Best Buy Uk App,shopping
VODAFONE EGYPT MASTERCARD,other
Netflix Digital Ca,entertainment
BILLA PAYMENT ONLINE VIENNA,food
boots digital us,health
PHARMACY CHARGE ONLINE GERMANY,health
CHASE WEB/SEPA,other
ORANGE BILL VIA INTL,other
ZALANDO*BIL SPAIN,shopping
costco trip vienna,shopping
carrefour madrid #27848,shopping
DELIVERY EAT.,food
Sky Ecom Il,entertainment
RIDE RITE AID,health
Docmorris Bill,health
Rite Aid Expense Via Txn,health
amazon san francisco eur,shopping
RIDE CANAL+,entertainment
UNKNOWN CREDIT ORDER,other
Tesco Uk #43759,shopping
Target Dallas Debit,shopping
paypal disney+,entertainment
Tesco Pos Dallas,shopping
barclays web  sepa,other
Hospital-London-Debit,health
Deutsche Bahn Stripe/Vienna,transport
PRET A MANGER*TXN IL,food
tfl wire/france,transport
lidl delivery berlin,food
barclays*fee usa,other
tesco debit eu,shopping
Rite Aid Giza Wire,health
Le Pain Quotidien-London-Mastercard,food
amc theatres charge via mastercard,entertainment
BOOTS--MASTERCARD,health
bart digital giza sepa,transport
el corte ingles order,shopping
Renfe Stripe Alex Sepa,transport
greggs-new york-sepa,food
Steam Order Via Web,entertainment
Zalando*Exp Madrid,shopping
DEUTSCHE BAHN VIENNA #97330,transport
MCDONALDS PAYMENT ONLINE GERMANY,food
CANAL+ PAYPAL/IL,entertainment
Youtube Web ,entertainment
LIDL PURCHASE ONLINE NY,food
Disney+ Fee Online Eu,entertainment
greggs fl delivery,food
Lidl Expense,food
Nando'S Order Online Egypt,food
CVS BILL VIA CARD,health
zalando web eur sepa,shopping
SALARY FL EUR,other
UTILITY PAYMENT MASTERCARD MIAMI SEPA,other
VODAFONE ORDER,other
SPAR MILAN #73713,food
boots il #93522,health
el corte ingles austria eur,shopping
CLINIC SEPA IBAN,health
Renfe*Ord Vienna,transport
Vodafone Bill,other
Debit Amazon,shopping
hsbc purchase,other
Hsbc Square Purchase,other
SPAR APP SPAIN,food
pharmacy milan trip,health
chipotle txn online vienna,food
PLAYSTATIONHULU FEE VIA SEPA,entertainment
amazon purchase online paris,shopping
TARGET WIRE PAYMENT,shopping
wendy's*exp los angeles,food
PLAYSTATIONHULU WIRE SPAIN SEPA,entertainment
GYM LONDON CREDIT,health
LE PAIN QUOTIDIEN WEB/EU,food
barclays*exp il,other
Boots-Cairo-App,health
le pain quotidien square charge,food
Disney+ Ride France Sepa,entertainment
LYFT TRIP TXN,transport
Italo Order Via Square,transport
Amazon Order Via Digital,shopping
APP PHARMACY,health
lidl london #63161,food
PHARMACY-LOS ANGELES-ECOM,health
ALDI BILL ONLINE USA,shopping
Italo Order,transport
best buy-tx-txn,shopping
Amc Theatres*Pur Sepa,entertainment
Unknown-Los Angeles-Credit,other
Walgreens Stripe Sepa Sepa,health
Sncf Ecom Payment,transport
Vodafone Iban Austria,other
Bolt Bill Online Giza,transport
LYFT PARIS INTL,transport
rite aid-ny-square,health
SNCF ECOM FL,transport
walmart italy #84834,shopping
amc theatres digital spain sepa,entertainment
taco bell visa giza sepa,food
boots miami eur,health
Canal+ Ksa Eur,entertainment
GREGGS DELIVERY US,food
nando's credit austria,food
xbox bill via ecom,entertainment
BEST BUY FL AMEX,shopping
bbc iplayer*txn il,entertainment
Docmorris*Cha Us,health
BOLT*TXN EGYPT,transport
mta italy eur,transport
Orange Paypal Bill,other
zalando sepa ksa sepa,shopping
uber txn via app,transport
WALGREENS EXPENSE,health
PHARMACY FL MASTERCARD,health
Renfe Delivery San Francisco,transport
walmart digital miami sepa,shopping
BBC IPLAYER DELIVERY/FL,entertainment
walmart dallas eur,shopping
o2 giza sepa,other
Carrefour-Cairo-Debit,shopping
Atm Ecom/Dallas,other
netflix charge online london,entertainment
RITE AID ACH WA,health
lidl germany wire,food
TESCO*BIL AMSTERDAM,shopping
Bbc Iplayer-Ca-Iban,entertainment
Square Wendy'S,food
Netflix Intl Giza,entertainment
Atm Payment Online France,other
Amex Sncf,transport
apotek italy trip,health
atm web il sepa,other
UTILITY PAYMENT-SAN FRANCISCO-DIGITAL,other
Digital Carrefour,shopping
ATM CARD/WA,other
best buy debit eur sepa,shopping
Playstationhulu*Bil Cairo,entertainment
Kfc Mastercard Sepa,food
DOCMORRIS AMEX CHARGE,health
nando's bill,food
Hsbc Rome Eur,other
bolt online paris sepa,transport
Tesco-Vienna-Ride,shopping
rite aid txn egypt sepa,health
ALDI CA #61270,shopping
PLAYSTATIONHULU ECOM TXN,entertainment
Sky Square Order,entertainment
tesco expense,shopping
unknown payment online fl,other
Netflix Stripe Brussels Sepa,entertainment
paul bakery ksa txn,food
Cvs Sepa/Madrid,health
UBER EXPENSE,transport
amazon*sub eur,shopping
Rite Aid-Amsterdam-Ecom,health
Bank Of America Trip Ca Sepa,other
Chipotle Amex Purchase,food
Trip Apotek,health
italo iban cairo sepa,transport
Eurostar Digital/Wa,transport
KFC SUBSCRIPTION ONLINE EUR,food
Atm-Eur-Ecom,other
Spotify Sepa Wire,entertainment
Youtube Bill Via Debit,entertainment
WALMART TXN,shopping
trainline il txn,transport
Amex Carrefour,shopping
hospital*fee berlin,health
barclays credit/seattle,other
BOLT ORDER,transport
amazon ecom/dallas,shopping
el corte ingles charge via ride,shopping
RITE AID FEE VIA DEBIT,health
WEB EL CORTE INGLES,shopping
UNKNOWN ECOM BERLIN,other
CLINIC TRIP PARIS SEPA,health
ride nando's,food
UBER DIGITAL SEPA,transport
DISNEY+ WIRE CAIRO SEPA,entertainment
deutsche bahn fee online giza,transport
BILLA DEBIT FEE,food
Sky Egypt Eur,entertainment
CANAL+*PAY NEW YORK,entertainment
Apotek Mastercard/Alex,health
Bolt Belgium Eur,transport
PHARMACY ORDER,health
tfl order,transport
Mta Stripe Netherlands Sepa,transport
Deutsche Bahn Brussels Digital,transport
Bart-Alex-Amex,transport
SPAR TRIP TXN,food
Aldi Order,shopping
EUROSTAR ONLINE CHICAGO SEPA,transport
canal+-eur-ride,entertainment
STEAM CREDIT FEE,entertainment
DEUTSCHE BAHN ONLINE/EGYPT,transport
eat. visa brussels,food
zalando fee via stripe,shopping
Youtube*Sub Amsterdam,entertainment
Subway Payment Online Amsterdam,food
El Corte Ingles Netherlands Stripe,shopping
LYFT*FEE CAIRO,transport
LE PAIN QUOTIDIEN AMSTERDAM EUR,food
lidl purchase via txn,food
CLINIC BILL ONLINE US,health
walmart fee via paypal,shopping
O2 Egypt Eur,other
Digital Sncf,transport
MASTERCARD UNKNOWN,other
GYM TXN,health
t-mobile fl amex,other
Gym Square Wa,health
netflix digital/tx,entertainment
italo*pay cairo,transport
NANDO'S APP BERLIN,food
Docmorris Wire Fl Sepa,health
Nando'S Txn Via Digital,food
t-mobile paypal egypt sepa,other
SNCF PURCHASE VIA PAYPAL,transport
Utility Payment*Pay Cairo,other
Costco Trip Spain,shopping
cvs card subscription,health
uber sepa giza sepa,transport
DIGITAL HSBC,other
mcdonalds order,food
Lidl Txn,food
Rite Aid Ksa Intl,health
Carrefour Austria Ach,shopping
uber payment online brussels,transport
Eat. Payment Online ,food
UBER TXN VIA AMEX,transport
AMAZON POS EXPENSE,shopping
Spotify Sepa #97505,entertainment
Walgreens Wire Subscription,health
Deutsche Bahn-Vienna-Txn,transport
uber purchase via wire,transport
TARGET CARD SUBSCRIPTION,shopping
BARCLAYS EGYPT POS,other
SPOTIFY SPAIN #54562,entertainment
EUROSTAR FL #74947,transport
trainline order,transport
Carrefour Subscription,shopping
ATM USA EUR,other
Pharmacy Online/Berlin,health
Wire Renfe,transport
Bart Wa Delivery,transport
Lidl Eur Eur,food
Pos Youtube,entertainment
xbox mastercard madrid sepa,entertainment
BEST BUY CARD EUR SEPA,shopping
tfl ecom rome sepa,transport
pret a manger*bil amsterdam,food
Ach Billa,food
pharmacy visa austria,health
at&t-san francisco-trip,other
clinic ach/giza,health
Visa O2,other
Amc Theatres Chicago Eur,entertainment
AMC THEATRES ONLINE CHARGE,entertainment
Hospital Pos Madrid,health
BBC IPLAYER DIGITAL BELGIUM,entertainment
CHASE-SEATTLE-ACH,other
WEB AMTRAK,transport
eurostar purchase,transport
SUBWAY DALLAS DEBIT,food
BEST BUY EXPENSE ONLINE NETHERLANDS,shopping
Walgreens*Sub Eur,health
amc theatres germany trip,entertainment
CANAL+ INTL WA SEPA,entertainment
TACO BELL ALEX EUR,food
italo austria eur,transport
verizon order via pos,other
AMTRAK MILAN #70422,transport
Dunkin*Cha London,food
EL CORTE INGLES ORDER VIA DEBIT,shopping
Carrefour Charge Via Paypal,shopping
walmart fee,shopping
Gym Expense Via Online,health
ORANGE TXN VIA DEBIT,other
bolt subscription via ride,transport
Youtube London Eur,entertainment
youtube eu #15316,entertainment
rite aid web ny sepa,health
spar pos/eur,food
bolt*pay san francisco,transport
BARCLAYS AMSTERDAM #20651,other
trainline-germany-iban,transport
Barclays Paypal Eur,other
DOCMORRIS TRIP MIAMI,health
AMTRAK*SUB AUSTRIA,transport
canal+ fee,entertainment
TACO BELL TXN LOS ANGELES SEPA,food
atm miami eur,other
ATM FEE ONLINE KSA,other
Pharmacy Intl/France,health
Hospital Alex Eur,health
boots expense,health
SKY ALEX #59946,entertainment
Cvs Tx App,health
o2 seattle visa,other
dunkin mastercard purchase,food
tesco square/,shopping
deutsche bahn purchase via ach,transport
Orange Sepa #35477,other
amc theatres amsterdam #20593,entertainment
cvs purchase via ach,health
Rite Aid Expense,health
verizon-milan-online,other
intl billa,food
EAT. VIENNA ACH,food
carrefour fee,shopping
aldi charge online london,shopping
paypal carrefour,shopping
Lidl Ach/Ny,food
Walgreens Bill Online Eur,health
Cvs Subscription Via Credit,health
tfl card belgium sepa,transport
TFL ORDER VIA ONLINE,transport
vodafone order online berlin,other
RITE AID GIZA #8543,health
EL CORTE INGLES GERMANY DEBIT,shopping
VERIZON USA #47484,other
costco order online ,shopping
Tesco Cairo #58978,shopping
ALDI MADRID EUR,shopping
youtube bill via ride,entertainment
Gym Expense Online Austria,health
MTA VISA/NEW YORK,transport
WIRE TARGET,shopping
intl canal+,entertainment
Apotek Square Giza,health
Amc Theatres Uk #47214,entertainment
xbox fee,entertainment
LIDL BRUSSELS EUR,food
canal+*bil ny,entertainment
Costco Paypal Fee,shopping
netflix ecom/,entertainment
costco ecom milan,shopping
docmorris digital milan,health
Apotek Cairo #45566,health
MTA*CHA ITALY,transport
wire bbc iplayer,entertainment
Atm App Il,other
Walmart Order Via Card,shopping
MASTERCARD CANAL+,entertainment
Mastercard Nando'S,food
RITE AID POS ROME SEPA,health
spotify-ny-web,entertainment
walgreens ny eur,health
utility payment spain #81212,other
Rite Aid Sepa Ksa,health
cvs amsterdam #57887,health
BOOTS*SUB US,health
TARGET-LOS ANGELES-ONLINE,shopping
Wire Trainline,transport
rite aid ecom ksa,health
LIDL*SUB AUSTRIA,food
TACO BELL*SUB SEPA,food
CANAL+ ORDER,entertainment
Apotek Expense Via Mastercard,health
BOOTS*PAY LOS ANGELES,health
DUNKIN-LOS ANGELES-RIDE,food
square atm,other
ALDI ACH EGYPT SEPA,shopping
mta amex london,transport
O2 TXN,other
Starbucks Delivery San Francisco Sepa,food
trainline bill,transport
deutsche bahn eu ach,transport
EL CORTE INGLES RIDE PARIS SEPA,shopping
Hospital-Amsterdam-Square,health
netflix bill via stripe,entertainment
lidl purchase via ach,food
EL CORTE INGLES LONDON EUR,shopping
Best Buy Fee Via Trip,shopping
bart web/germany,transport
hospital card ny,health
Dunkin-Alex-App,food
Carrefour Expense Via Amex,shopping
ZALANDO TRIP USA,shopping
MTA ONLINE USA,transport
Sncf Intl ,transport
Docmorris Miami #76339,health
bolt-boston-stripe,transport
Sncf-New York-Sepa,transport
costco txn/france,shopping
SKY SPAIN #90710,entertainment
Apotek Egypt #6438,health
El Corte Ingles Sepa #33273,shopping
Pharmacy Purchase Via Sepa,health
BARCLAYS KSA EUR,other
Netflix Charge Online France,entertainment
SKY WEB BILL,entertainment
VODAFONE*FEE GERMANY,other
DOCMORRIS EXPENSE,health
ALDI IBAN CAIRO,shopping
Target Txn,shopping
